Nº	Posic.	Long.	Tipo	Descripción	Validación	Contenido	X	Y	FORMULA	
"1"	"1"	"3"	"Num"	"Modelo"	"Obligatorio"	"Constante 130"	"-100"	"-100"	""	
"2"	"4"	"2"	"Num"	"Página"	"Obligatorio"	"Constante 01"	"-120"	"-120"	""	
"3"	"6"	"1"	"A"	"Indicador de página complementaria"	"En blanco"	""	""	""	""	
"4"	"7"	"1"	"A"	"Tipo de declaración, G,I,N,U"	"N o G o I o U o en blanco"	""	"688"	"225"	""	
"5"	"8"	"5"	"Num"	"Administracion"	"Obligatorio"	""	"887"	"80"	""	
"6"	"13"	"9"	"An"	"Declarante(1) NIF"	"Obligatorio"	""	"200"	"166"	""	
"7"	"22"	"4"	"An"	"Declarante(1) Primer apellido, 4 letras"	"735"	""	"945"	"224"	""	
"8"	"26"	"30"	"An"	"Declarante(1) Apellidos"	"206"	""	"322"	"168"	""	
"9"	"56"	"15"	"A"	"Declarante(1) Nombre"	"568"	""	"778"	"167"	""	
"10"	"71"	"4"	"Num"	"Devengo (2) Ejercicio"	"Obligatorio"	""	"274"	"223"	""	
"11"	"75"	"2"	"An"	"Devengo (2) Periodo, 1T,2T, …"	"Obligatorio"	""	"451"	"224"	""	
"12"	"77"	"13"	"N"	"I Ingresos computables [01]"	"euros"	""	"800"	"327"	""	
"13"	"90"	"13"	"N"	"I Gastos fiscalmente deducibles [02])"	"euros"	""	"800"	"353"	""	
"14"	"103"	"13"	"N"	"I Rendimiento neto [03]"	"euros"	""	"800"	"380"	"C12-C13"	
"15"	"116"	"13"	"N"	"I 20% de la casilla 03 [04]"	"euros"	""	"800"	"407"	"POS(C14*20/100)"	
"16"	"129"	"13"	"N"	"I A deducir -  Pagos fraccionados [05])"	"euros"	""	"800"	"463"	""	
"17"	"142"	"13"	"N"	"I A deducir  - Retenciones e ingr a cuenta [06]"	"euros"	""	"800"	"488"	""	
"18"	"155"	"13"	"N"	"I Pago fraccionado previo del trimestre [07]"	"euros"	""	"800"	"518"	"C15-C16-C17"	
"19"	"168"	"13"	"N"	"II Activ agrícola estimac directa - Volumen de ingresos [08]"	"euros"	""	"800"	"590"	""	
"20"	"181"	"13"	"N"	"II Activ agrícola estimac directa - 2% de la casilla 08 [09]"	"euros"	""	"800"	"617"	"C19*2/100"	
"21"	"194"	"13"	"N"	"II Activ agrícola estimac directa - A deducir- Retenciones e ingr a cuenta [10]"	"euros"	""	"800"	"673"	""	
"22"	"207"	"13"	"N"	"II Activ agrícola estimac directa - Pago fraccionado [11]"	"euros"	""	"800"	"698"	"C20-C21"	
"23"	"220"	"13"	"N"	"III Total liquidación - Suma de pagos fraccionados [12])"	"euros"	""	"800"	"754"	"POS(C18+C22)"	
"24"	"233"	"13"	"N"	"III Total liquidación -Minoración por aplicación de la deducción art 80 bis(13)"	"euros"	""	"800"	"782"	""	
"25"	"246"	"13"	"N"	"IIITotal Liquidación - Diferencia (12) - (13  (14)"	"euros"	""	"800"	"812"	"C23-C24"	
"26"	"259"	"13"	"N"	"III Total liquidación - A deducir resultados negativos de trimestres anteriores15]"	"euros"	""	"800"	"840"	""	
"27"	"272"	"13"	"N"	"III Total liquidación - A deducir cantidades destinadas a vivienda 2% de (3) o (8) Máximo 660,14 € anuales"	"euros"	""	"800"	"868"	""	
"28"	"285"	"13"	"N"	"III Total liquidación - Total (14) - (15)  [16]"	"euros"	""	"800"	"897"	"C25-C26-C27"	
"29"	"298"	"13"	"N"	"III Total Liquidación -A deducir - Resultado de las anteriores declaraciones [17]"	"euros"	""	"800"	"925"	""	
"30"	"311"	"13"	"N"	"III Total liquidación - Resultado de la declaración [18]"	"euros"	""	"800"	"953"	"C28 - C29"	
"31"	"324"	"13"	"N"	"Ingreso (4) - Importe del ingreso [I]"	"euros"	""	"448"	"1132"	"POS(C30)"	
"32"	"337"	"1"	"Num"	"Ingreso (4) - Forma de pago 0 no consta, 1 Efectivo, 2 Adeudo en cuenta, 3 Domiciliacion"	""	""	"257"	"1132"	""	
"33"	"338"	"4"	"An"	"Ingreso (4) - Código cuenta cliente - Entidad"	""	""	"296"	"1160"	""	
"34"	"342"	"4"	"An"	"Ingreso (4) - Código cuenta cliente - Sucursal"	""	""	"363"	"1160"	""	
"35"	"346"	"2"	"An"	"Ingreso (4) - Código cuenta cliente - DC"	""	""	"433"	"1160"	""	
"36"	"348"	"10"	"An"	"Ingreso (4) - Código cuenta cliente - Número de cuenta"	""	""	"489"	"1160"	""	
"37"	"358"	"1"	"An"	"A deducir (5) Declaración con resultado a deducir en los siguientes pagos fraccionados"	""	""	"842"	"1053"	""	
"38"	"359"	"16"	"An"	"Complementaria (7), código electrónico anterior"	""	""	"484"	"1005"	""	
"39"	"375"	"13"	"An"	"Declaración complementaria (7) - nº justificante declaración anterior"	""	""	"485"	"1053"	""	
"40"	"388"	"100"	"An"	"Persona de contacto"	""	""	"248"	"1243"	""	
"41"	"488"	"9"	"An"	"Teléfono contacto"	""	""	"259"	"1269"	""	
"42"	"497"	"350"	"An"	"Observaciones"	""	""	"254"	"1298"	""	
"43"	"847"	"16"	"A"	"Firma (8) - Localidad"	""	""	"786"	"1132"	""	
"44"	"863"	"2"	"An"	"Firma (8) - Fecha: Día"	""	""	"785"	"1160"	""	
"45"	"865"	"10"	"A"	"Firma (8) - Fecha: Mes"	""	""	"828"	"1160"	""	
"46"	"875"	"4"	"An"	"Firma (8) - Fecha: Año"	""	""	"945"	"1160"	""	
"47"	"879"	"2"	"An"	"Fin de Registro Constante CRLF (Hexadecimal 0D0A, Decimal 1310)"	""	""	""	""	""	
